date_created,up_votes,title,over_18,author,hour,day_of_week,day_of_month,month
2008-10-17,1799.0,The Other Man On The Podium,False,ubikwitous,12,4,17,10
2009-12-22,3392.0,How do I know China wrecked the Copenhagen deal? I was in the room.,False,carsonbiz,22,1,22,12
2016-04-03,13244.0,New report claims  war on drugs  has  harmed public health ,False,Owen_Daniel,22,6,3,4
2010-01-12,3187.0,"Dear World, The Chinese government stole intellectual property from us and others. The censorship is crazy over there and we are seriously considering ceasing our Chinese operation. - signed google.",False,frenchphrasebook,23,1,12,1
2011-12-19,4142.0,North Korea Leader Kim-Jong Il has died,False,Merytz,3,0,19,12
2012-11-28,7457.0,"Canada creates $5,000 cap on liability for file sharing lawsuits",False,mepper,17,2,28,11
2013-06-08,10159.0," What we have... is... concrete proof of U.S.-based... companies participating with the NSA in wholesale surveillance on us, the rest of the world, the non-American, you and me,  Mikko Hypponen, chief research officer at Finnish software security firm F-Secure.",False,dantesinfer,1,5,8,6
2014-12-03,9303.0,"NASA officially announces Manned Mars Mission, test launch will begin tomorrow testing orbiter.",False,Herman999999999,22,2,3,12
2015-06-20,21253.0,"A biotech startup has managed to 3-D print fake rhino horns that carry the same genetic fingerprint as the actual horn. The company plans to flood Chinese rhino horn market at one-eighth of the price of the original, undercutting the price poachers can get and forcing them out eventually.",False,KRISHNA53,16,5,20,6
2016-04-03,13244.0,"2.6 terabyte leak of Panamanian shell company data reveals  how a global industry led by major banks, legal firms, and asset management companies secretly manages the estates of politicians, Fifa officials, fraudsters and drug smugglers, celebrities and professional athletes. ",False,mister_geaux,18,6,3,4
